frame_index,ball,id_1_team_0,id_2_team_0,id_3_team_1,id_4_team_0,id_5_team_0,id_6_team_1,id_7_team_1,id_8_team_1,id_9_team_1,id_10_team_0,id_11_team_1,id_12_team_1,id_13_team_0,id_14_team_1,id_15_team_1,id_16_team_0,id_17_team_0,id_18_team_1,id_19_team_0,id_20_team_0,id_21_team_0,id_22_team_1,id_37_team_0,id_45_team_0,id_46_team_1,id_47_team_0,id_48_team_1,id_53_team_1,id_54_team_1,id_57_team_1,id_61_team_0,id_63_team_0,id_66_team_0,id_69_team_1,id_70_team_1,id_71_team_1,id_72_team_0,id_81_team_1,id_84_team_1,id_97_team_1,id_99_team_0,id_101_team_1,id_105_team_0,id_106_team_1,id_108_team_0,id_111_team_1,id_118_team_1,id_121_team_1,id_124_team_1,id_125_team_0,id_126_team_1,id_127_team_1,id_129_team_0,id_130_team_0,id_131_team_0,id_132_team_0,id_135_team_0,id_137_team_0,id_146_team_0,id_147_team_0,id_160_team_0,id_162_team_1,id_163_team_1,id_165_team_0,id_167_team_1,id_172_team_0,id_176_team_0,id_177_team_1,id_183_team_0,id_185_team_1,id_186_team_0,id_187_team_1,id_188_team_0,id_191_team_1,id_197_team_0,id_206_team_1,id_225_team_1,id_226_team_0,id_234_team_1,id_235_team_0,id_247_team_0,id_248_team_1,id_252_team_1,id_253_team_0,id_254_team_0,id_255_team_0,id_256_team_0,id_257_team_0,id_258_team_0,id_264_team_0,id_267_team_1,id_268_team_1,id_269_team_1,id_270_team_0,id_275_team_0,id_276_team_1,id_279_team_0,id_281_team_0,id_284_team_1,id_288_team_0,id_305_team_1,id_306_team_0,id_307_team_1,id_315_team_1,id_316_team_0,id_322_team_1,id_323_team_0,id_326_team_1,id_334_team_1,id_357_team_0,id_363_team_1,id_365_team_0,id_367_team_0,id_368_team_0,id_381_team_0,id_387_team_0,id_392_team_1,id_393_team_0,id_402_team_1,id_404_team_0,id_416_team_1,id_420_team_1,id_421_team_1,id_422_team_0,id_428_team_0,id_432_team_1,id_433_team_0,id_434_team_0,id_436_team_1,id_437_team_0,id_438_team_1,id_443_team_0,id_448_team_0,id_465_team_1,id_468_team_0,id_472_team_0,id_474_team_0,id_477_team_0,id_486_team_0,id_494_team_1,id_495_team_1,id_496_team_1,id_502_team_0,id_503_team_0,id_518_team_0,id_524_team_0,id_528_team_0,id_532_team_1,id_534_team_1,id_535_team_1,id_536_team_0,id_537_team_0,id_539_team_0,id_541_team_1,id_543_team_0,id_544_team_1,id_548_team_1,id_550_team_1,id_552_team_0,id_556_team_0,id_564_team_1,id_575_team_1,id_576_team_1,id_577_team_0,id_578_team_1,id_580_team_0,id_581_team_0,id_582_team_1,id_584_team_0,id_585_team_1,id_590_team_1,id_592_team_0,id_596_team_1,id_597_team_0,id_598_team_1,id_602_team_0,id_604_team_0,id_607_team_0,id_608_team_0,id_613_team_1,id_614_team_0,id_621_team_1,id_622_team_1,id_625_team_0,id_626_team_0,id_635_team_1,id_637_team_1,id_639_team_0,id_641_team_1,id_643_team_1,id_644_team_0,id_647_team_1,id_648_team_1,id_650_team_1,id_652_team_0,id_656_team_1,id_657_team_0,id_658_team_1,id_660_team_0,id_661_team_0,id_662_team_1,id_663_team_0,id_664_team_0,id_667_team_1,id_668_team_1,id_671_team_0,id_676_team_1,id_682_team_0,id_687_team_1,id_692_team_0,id_696_team_0,id_700_team_0,id_701_team_0,id_708_team_1,id_709_team_0,id_720_team_1,id_724_team_0,id_725_team_0,id_728_team_1,id_730_team_0,id_736_team_0,id_739_team_1,id_741_team_0,id_744_team_0,id_746_team_1,id_750_team_0,id_753_team_1,id_755_team_1,id_759_team_1,id_760_team_0,id_763_team_1,id_765_team_0,id_767_team_1,id_775_team_0,id_779_team_1,id_786_team_1,id_789_team_1,id_798_team_1,id_809_team_0,id_814_team_0,id_822_team_0,id_823_team_1,id_825_team_0,id_836_team_0,id_841_team_1,id_843_team_0,id_845_team_1,id_849_team_1,id_851_team_1,id_855_team_0,id_859_team_0,id_868_team_0,id_869_team_1,id_876_team_0,id_883_team_1,id_887_team_0,id_903_team_1,id_931_team_0,id_936_team_1,id_945_team_1,id_964_team_0,id_978_team_1,id_984_team_0,id_999_team_1,id_1011_team_0,id_1027_team_0,id_1028_team_0,id_1060_team_1,id_1063_team_0,id_1073_team_0,id_1074_team_1,id_1077_team_1,id_1081_team_1,id_1083_team_0,id_1086_team_1,id_1088_team_1,id_1089_team_0,id_1090_team_1,id_1093_team_1,id_1094_team_0,id_1095_team_1,id_1098_team_0,id_1099_team_1,id_1100_team_1,id_1101_team_0,id_1102_team_0,id_1103_team_0,id_1104_team_0,id_1106_team_1,id_1111_team_0,id_1116_team_0,id_1121_team_0,id_1128_team_1,id_1133_team_1,id_1135_team_1,id_1138_team_1,id_1143_team_1,id_1157_team_1,id_1174_team_1,id_1191_team_1,id_1197_team_1,id_1198_team_1,id_1207_team_1,id_1212_team_0,id_1216_team_0,id_1220_team_1,id_1230_team_1,id_1232_team_0,id_1234_team_0,id_1238_team_0,id_1243_team_1,id_1249_team_0,id_1250_team_1,id_1252_team_0,id_1263_team_0,id_1266_team_1,id_1268_team_0,id_1295_team_1,id_1296_team_0,id_1306_team_0,id_1307_team_1,id_1309_team_0,id_1310_team_0,id_1315_team_1,id_1320_team_0,id_1337_team_1,id_1339_team_0,id_1340_team_1,id_1341_team_0,id_1343_team_0,id_1344_team_1,id_1346_team_0,id_1347_team_0,id_1348_team_1,id_1349_team_0,id_1350_team_1,id_1366_team_1,id_1367_team_1,id_1368_team_0,id_1369_team_1,id_1370_team_1,id_1371_team_1,id_1372_team_1,id_1373_team_0,id_1376_team_0,id_1378_team_0,id_1379_team_0,id_1381_team_1,id_1383_team_0,id_1386_team_0,id_1389_team_0,id_1390_team_1,id_1392_team_0,id_1396_team_0,id_1398_team_1,id_1402_team_0,id_1412_team_0,id_1420_team_0,id_1425_team_0,id_1445_team_1,id_1446_team_1,id_1448_team_0,id_1452_team_1,id_1458_team_1,id_1462_team_1,id_1479_team_1,id_1480_team_1,id_1485_team_1,id_1489_team_0,id_1490_team_1,id_1494_team_0,id_1495_team_0,id_1496_team_0,id_1499_team_1,id_1502_team_0,id_1503_team_1,id_1504_team_1,id_1505_team_1,id_1506_team_1,id_1507_team_0,id_1511_team_0
0,"649.88,2622.19","4353.00,5774.95","5862.48,4511.28","3810.29,5642.18","4678.01,4176.14","6260.37,5207.12","4185.04,4352.87","6153.30,5898.58","5391.53,4733.58","2400.87,1121.35","6403.82,2864.24","2490.47,4883.73","3949.00,2931.51","6625.72,3757.64","1380.76,2435.18","5772.18,2211.10","4010.38,2694.80","5648.48,2252.76","6516.16,3870.69","4145.96,1027.39","2246.30,1330.02","3265.43,2452.39","292.82,2244.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"664.61,2646.42","4360.37,5769.23","5856.28,4504.88","3804.08,5653.46","4658.56,4160.23","6273.72,5204.59","4171.22,4336.05","6159.56,5898.15","5416.06,4736.59","2430.01,1125.23","6409.45,2823.42","2484.01,4915.79","3988.59,2933.82","6628.83,3766.36","1357.59,2411.48","5796.47,2217.88","4028.67,2701.89","5639.86,2296.84","6513.65,3880.63","4173.49,1033.73","2292.20,1308.44","3290.73,2424.07","410.94,2350.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,"4363.06,5744.17","5850.84,4519.38","3808.55,5662.20","4636.28,4163.52","6287.83,5210.19","4145.46,4331.43","6170.57,5917.37","5441.17,4728.10","2451.57,1129.65","6417.07,2812.24","2478.30,4941.13","4023.51,2949.89","6637.97,3776.86","1352.04,2426.67","5814.53,2202.84","4053.03,2690.15","5633.17,2302.90","6513.92,3893.30","4207.85,1053.38","2336.87,1353.31","3331.03,2408.63","462.59,2395.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"663.27,2718.14","4361.20,5723.71","5842.62,4522.95","3806.99,5667.55","4606.58,4170.88","6306.81,5209.68","4119.69,4338.57","6179.92,5946.87","5463.85,4700.07","2486.72,1137.27","6417.58,2806.16","2436.33,4954.57","4042.78,2912.67","6642.03,3774.37","1305.90,2415.11","5835.83,2143.28","4078.76,2710.40","5631.49,2325.77","6524.53,3899.30","4238.79,1077.90","2384.56,1380.55","3353.80,2347.33","506.25,2425.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,"4376.39,5717.33","5841.73,4508.15","3807.71,5658.40","4580.09,4140.56","6320.51,5212.53","4090.27,4299.50","6184.58,5955.58","5482.75,4689.46","2506.37,1127.51","6419.77,2720.71","2407.34,4959.22","4075.10,2899.46","6644.41,3765.87","1292.57,2411.26","5847.62,2118.94","4101.08,2714.68","5622.05,2336.57","6522.89,3891.93","4265.81,1088.76","2416.50,1389.92","3391.17,2316.11","563.87,2504.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,"4384.11,5698.49","5835.49,4500.87",,"4550.37,4136.67","6323.11,5211.40","4069.98,4293.13","6191.18,5957.15","5493.99,4661.01","2544.42,1124.09","6414.12,2708.57","2410.42,4965.90","4095.31,2895.74","6648.49,3775.03","1310.98,2431.38","5860.52,2099.87","4125.33,2710.20","5613.28,2353.24","6520.81,3883.18","4300.13,1103.36","2464.88,1406.11","3423.43,2293.80","605.58,2540.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,"4386.60,5685.71","5817.84,4507.67","3785.85,5660.99","4519.42,4146.89","6321.58,5213.96","4032.06,4284.09","6188.39,5964.78","5504.13,4644.10","2553.30,1133.71","6406.04,2675.28","2348.32,4953.21","4100.19,2885.21","6650.25,3777.74","1264.00,2430.91","5861.85,2089.61","4129.37,2730.00","5599.92,2376.51","6518.16,3828.99","4309.30,1110.88","2475.69,1414.50","3457.60,2276.25","590.22,2571.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,"4393.51,5692.72","5799.85,4497.50","3781.17,5685.79","4487.80,4125.77","6344.44,5209.72","4005.26,4282.81","6186.39,5990.89","5518.28,4642.95","2565.28,1154.85","6400.18,2652.94","2325.80,4971.43","4114.86,2869.95","6651.09,3780.07","1246.36,2436.08","5879.60,2072.86","4141.24,2745.10","5584.43,2412.52","6515.55,3812.66","4337.01,1148.73","2484.81,1435.37","3480.88,2256.15","599.76,2609.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,"4387.84,5681.76","5795.04,4507.34","3776.28,5695.24","4446.50,4104.70","6353.83,5212.95","3966.51,4282.17","6186.27,6000.16","5520.09,4625.96","2582.73,1156.62","6391.47,2659.23","2300.98,4987.69","4131.13,2868.88","6654.79,3780.20","1230.72,2439.00","5886.33,2046.22","4157.33,2759.41","5577.23,2433.70","6511.22,3824.44","4366.60,1151.20","2493.57,1437.74","3529.48,2249.25","584.89,2610.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"733.75,2901.06","4368.91,5654.69","5777.44,4509.46","3752.77,5701.97","4409.72,4119.74","6348.54,5219.27","3923.23,4266.22","6182.53,6004.27","5526.40,4604.88","2617.39,1170.14","6393.16,2619.37","2242.08,4983.44","4157.94,2845.10","6651.62,3780.71","1206.61,2418.22","5900.24,2012.26","4186.04,2750.11","5571.52,2478.48","6501.89,3796.87","4395.29,1186.70","2512.07,1495.01","3559.48,2239.83","627.24,2687.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
