frame_index,ball,id_1_team_1,id_2_team_1,id_3_team_1,id_4_team_0,id_5_team_1,id_6_team_0,id_7_team_1,id_8_team_1,id_9_team_1,id_10_team_0,id_12_team_0,id_13_team_1,id_14_team_0,id_15_team_0,id_16_team_0,id_17_team_1,id_18_team_1,id_19_team_0,id_22_team_0,gk0,id_28_team_0
0,"7258.90,6789.86","7447.49,4324.77","6137.91,6016.73","8455.66,3793.98","6290.84,5327.50","8357.81,4418.12","5797.30,1823.52","6819.39,5790.66","8444.62,6015.60","7331.12,3019.73","8172.12,4208.37","5797.24,6147.23","5712.42,4347.68","5465.06,4513.07","8285.72,3048.39","7604.24,7010.97","8267.23,2173.51","7307.20,6374.87","6909.67,3784.67","8099.07,356.20","10562.45,3960.31",
1,"7271.70,6860.87","7457.09,4337.47","6144.26,6024.09","8467.54,3809.34","6324.67,5335.77","8384.98,4424.10","5799.48,1857.47","6865.94,5828.64","8435.44,6098.40","7357.23,3039.22","8186.50,4222.95","5799.47,6184.30","5723.06,4350.09","5472.40,4523.36","8319.87,3055.11","7577.94,7018.01","8279.78,2175.78","7316.47,6371.60","6909.85,3796.32","8106.27,357.31","10564.75,3960.77",
2,"7292.11,6948.26","7485.18,4341.25","6151.35,6034.08","8489.59,3822.67","6362.86,5418.39","8440.57,4432.68","5796.89,1846.67","6929.87,5870.57","8430.71,6195.57","7391.22,3069.39","8228.96,4217.15","5802.18,6229.99","5743.65,4364.98","5483.56,4545.24","8355.81,3086.99","7507.41,7055.36","8298.01,2189.39",,"6919.91,3819.02","8119.76,392.74","10577.05,3958.62","7382.06,6459.91"
3,"7295.22,7022.71","7488.21,4385.55","6151.24,6056.32","8496.43,3863.98","6407.30,5429.45","8453.91,4480.59","5794.96,1890.17",,"8449.43,6221.42","7397.96,3103.14","8232.18,4253.48","5794.47,6237.34","5753.11,4387.28","5489.80,4556.57","8397.52,3113.05","7425.63,7070.84","8308.58,2214.33","7441.65,6470.23","6920.90,3821.97","8118.40,429.10","10570.66,3984.50",
4,"7243.35,7048.66","7512.15,4416.89","6149.31,6101.15","8515.72,3875.68","6440.38,5509.93","8509.93,4501.83","5797.13,1932.43",,"8402.61,6376.78","7431.81,3111.75","8263.86,4267.98","5770.27,6224.87","5763.67,4433.86","5499.34,4573.65","8423.04,3153.18","7344.10,7044.82","8328.71,2237.40","7442.77,6639.04","6910.31,3890.55","8145.95,424.79",,
5,"7141.78,6994.76","7516.51,4486.39","6173.14,6102.33","8527.95,3909.79","6479.49,5560.58","8541.40,4533.53","5791.37,1940.82",,"8405.64,6373.68","7462.24,3131.73","8282.79,4277.03","5759.08,6264.78","5778.56,4450.07","5503.92,4604.88","8462.23,3156.86","7265.87,7027.67",,"7422.14,6731.35","6923.43,3904.64","8150.53,457.83",,
6,"7038.00,6962.46","7524.39,4528.78","6225.58,6082.09","8539.95,3912.26","6511.06,5609.30","8585.68,4554.00","5787.47,1973.01",,"8374.05,6459.34","7470.16,3161.45","8294.93,4290.96","5744.48,6310.55","5795.29,4454.08","5511.45,4623.68","8477.75,3189.57","7169.35,7014.99",,"7436.71,6760.02","6939.15,3908.10","8162.71,483.85",,"7542.70,6422.04"
7,"6941.55,6937.94","7530.18,4569.68","6254.70,6070.18","8565.40,3930.08","6547.35,5656.88","8614.94,4581.55","5788.00,1989.90","7184.41,6140.27","8357.40,6483.40","7483.63,3178.29","8311.50,4294.19","5730.93,6323.75","5809.84,4474.65","5515.40,4623.68","8485.47,3235.39","7106.04,6972.63","8427.13,2378.52","7409.10,6848.34","6949.50,3932.72","8177.58,486.23",,"7545.95,6403.08"
8,"6863.69,6916.87","7534.08,4625.49","6283.79,6045.40","8574.79,3941.51","6561.42,5722.25","8618.97,4652.81","5792.91,2013.22","7184.39,6124.71","8321.02,6508.45","7490.93,3206.96","8322.14,4315.13","5676.76,6287.03","5818.85,4480.77","5511.25,4642.58","8510.18,3210.48","7012.37,6951.99",,"7379.79,6873.65","6961.34,3931.87","8183.83,531.94",,"7534.82,6403.53"
9,"6784.95,6900.31","7521.42,4660.72","6325.04,6067.49","8582.40,3954.53","6566.42,5781.95","8646.00,4658.42","5789.62,2019.10","7161.34,6100.37",,"7491.04,3258.35","8320.53,4347.55","5631.66,6324.67","5814.12,4522.33","5497.56,4671.05","8495.13,3278.02","6912.98,6947.54",,,"6961.53,3951.87","8192.79,546.24",,"7525.56,6360.23"
10,"6689.32,6885.93","7485.13,4729.57","6349.29,6080.24","8565.73,3973.37","6569.84,5860.45","8614.91,4778.26","5802.58,2053.40","7125.37,6100.46","8207.48,6551.19","7486.43,3277.14","8303.14,4376.57","5584.10,6349.25","5814.22,4554.21","5471.65,4661.34","8489.75,3298.83","6793.77,6891.88",,,"6956.99,4002.65","8197.59,563.02",,"7487.55,6319.48"
11,"6586.35,6856.63","7433.29,4737.43","6315.93,6067.26","8503.26,4021.27","6563.44,5881.27","8562.64,4789.56","5825.45,2065.87","7038.19,6071.33","8092.41,6536.72","7449.70,3360.51","8236.27,4417.98","5545.28,6338.32","5817.14,4560.49","5463.93,4688.02","8443.61,3327.96","6667.67,6852.58",,"7083.80,6862.04","6939.33,4008.37","8187.01,555.86",,"7415.92,6325.16"
12,"6523.18,6835.65","7401.50,4791.60","6277.60,6067.54","8505.25,4037.60","6569.81,5936.42","8521.70,4883.17","5825.75,2059.26","7011.30,6090.95","8034.04,6512.74","7444.50,3379.55","8229.54,4430.95","5486.44,6319.55","5812.66,4577.96","5452.89,4712.37","8424.00,3371.60","6568.85,6847.94",,,"6931.36,4025.08","8190.76,559.08",,"7406.30,6305.01"
13,"6321.65,6732.25","7372.12,4791.25","6234.62,6075.01","8485.37,4065.76","6562.59,5949.86","8498.13,4878.08","5828.89,2060.14","6964.20,6107.08","7973.98,6485.81","7434.42,3378.22","8200.35,4465.61","5439.46,6337.67","5811.40,4587.58","5436.99,4700.80","8410.64,3386.99","6486.80,6794.42","8473.28,2638.42",,"6917.79,4058.00","8210.06,506.97",,"7382.14,6238.48"
14,"6120.70,6633.55","7337.16,4818.06",,"8459.80,4075.11","6570.74,5960.67","8442.65,4958.44","5823.04,2049.77","6932.80,6101.05","7884.62,6474.72","7419.16,3393.05","8191.04,4445.83","5413.58,6336.10","5798.51,4603.88","5395.62,4694.29","8393.03,3384.55","6419.17,6775.45","8433.50,2679.90",,"6900.49,4083.49","8190.30,519.33",,"7371.19,6194.64"
