Frame, gk1_x, gk1_y
0,None,None
2,None,None
5,None,None
6,None,None
8,None,None
9,None,None
11,None,None
12,None,None
13,None,None
14,None,None
15,None,None
16,None,None
17,None,None
18,None,None
19,None,None
20,None,None
21,None,None
22,None,None
23,None,None
24,None,None
25,None,None
26,None,None
27,None,None
28,None,None
29,None,None
30,None,None
31,None,None
32,None,None
33,None,None
34,None,None
35,None,None
141,68.5,356.5
143,81.5,367.5
144,92.0,373.5
145,98.0,375.5
146,104.0,378.5
147,116.5,381.5
148,130.5,386.5
149,136.5,387.0
150,135.5,394.0
151,127.0,396.5
152,121.5,403.0
153,119.0,404.0
154,107.5,408.0
155,97.5,414.5
156,93.5,417.0
157,96.5,424.5
