Frame, X, Y
0,1911.5,409.5
1,1914.0,412.5
2,None,None
3,None,None
4,None,None
5,None,None
6,None,None
7,None,None
8,None,None
9,None,None
10,None,None
11,None,None
12,None,None
13,None,None
14,None,None
15,None,None
16,None,None
17,None,None
18,None,None
19,None,None
20,None,None
21,None,None
22,None,None
23,None,None
24,None,None
25,None,None
26,None,None
27,None,None
28,None,None
29,None,None
30,None,None
31,None,None
32,None,None
33,None,None
34,None,None
35,None,None
36,None,None
37,None,None
38,None,None
39,None,None
40,None,None
41,None,None
42,None,None
43,None,None
44,None,None
45,None,None
46,None,None
47,None,None
48,None,None
49,None,None
50,1836.0,416.5
51,1744.0,426.0
52,1674.5,436.0
53,1655.0,442.0
54,1651.5,450.0
55,None,None
56,1618.5,450.5
57,None,None
58,None,None
59,None,None
60,1153.5,415.0
61,1565.5,432.0
62,1562.0,427.0
63,1556.5,421.5
64,1544.5,417.0
65,1532.5,413.5
66,1526.0,410.0
67,1520.0,409.5
68,1526.5,409.0
69,1540.0,409.0
70,1561.5,410.0
71,1589.5,411.5
72,1612.0,413.0
73,1635.5,414.5
74,1657.5,416.0
