Frame,Tracker 1,Tracker 2,Tracker 3,Tracker 4,Tracker 5,Tracker 6,Tracker 7,Tracker 8,Tracker 9,Tracker 10,Tracker 11,Tracker 12,Tracker 13,Tracker 14,Tracker 15,Tracker 16,Tracker 17,Tracker 18,Tracker 19,Tracker 20,Tracker 21,Tracker 22,Tracker 23,Tracker 24,Tracker 25,Tracker 28,Tracker 29,Tracker 31,Tracker 33,Tracker 34,Tracker 35,Tracker 41,Tracker 43,Tracker 45
0,"(771.50, 425.50)","(162.50, 677.00)","(1251.00, 418.00)","(206.50, 509.50)","(1555.50, 405.50)","(170.00, 354.50)","(338.00, 361.50)","(849.50, 669.50)","(1233.50, 661.00)","(1431.50, 268.00)","(405.50, 781.50)","(806.50, 283.00)","(1725.50, 816.50)","(731.00, 667.00)","(1212.50, 433.50)","(713.00, 226.50)","(335.00, 671.00)","(607.00, 558.50)","(557.00, 491.50)","(433.00, 735.00)","(119.50, 209.50)","(1681.50, 476.50)",,,,,,,,,,,,
1,"(772.00, 425.00)","(167.00, 677.50)","(1266.00, 418.00)","(208.00, 510.00)","(1564.00, 401.50)","(172.00, 354.00)","(332.50, 361.00)","(842.00, 672.50)","(1239.50, 659.50)","(1431.50, 266.00)","(395.50, 783.00)","(804.00, 282.50)","(1733.00, 819.00)","(731.50, 666.00)","(1215.50, 435.00)","(711.00, 224.00)","(330.50, 672.50)","(594.00, 556.00)","(555.50, 494.00)","(422.00, 739.00)","(123.00, 208.00)","(1674.50, 476.50)",,,,,,,,,,,,
2,"(773.50, 427.00)","(170.50, 680.00)","(1280.00, 420.00)","(207.00, 509.50)","(1578.50, 397.00)","(170.50, 353.00)","(326.50, 360.00)","(826.50, 672.00)","(1250.00, 664.00)","(1431.00, 264.00)","(381.50, 787.00)","(802.00, 280.00)","(1749.50, 816.50)","(728.00, 664.50)","(1218.00, 439.00)","(708.50, 222.00)","(319.50, 677.00)",,"(555.00, 495.50)","(410.00, 741.50)","(121.00, 204.50)","(1670.00, 477.50)","(578.50, 500.00)",,,,,,,,,,,
3,"(779.50, 425.50)","(180.50, 678.00)","(1303.00, 421.50)","(207.00, 507.50)","(1595.50, 393.50)","(168.00, 352.50)","(321.50, 359.50)","(815.50, 677.00)","(1259.50, 668.50)","(1426.50, 263.00)","(370.50, 787.00)","(799.00, 279.00)","(1761.50, 816.00)","(731.50, 664.50)","(1223.50, 441.50)","(709.00, 221.00)","(299.00, 676.50)",,"(553.50, 499.00)","(392.00, 749.00)","(123.50, 202.00)","(1668.00, 475.00)","(582.50, 499.50)","(568.50, 553.50)",,,,,,,,,,
4,"(786.50, 429.00)","(194.50, 681.00)","(1321.50, 419.50)","(213.50, 505.50)","(1613.00, 388.00)","(169.00, 353.00)","(314.50, 359.00)","(803.00, 678.00)","(1266.00, 669.50)","(1427.50, 261.50)","(356.50, 793.00)","(798.50, 278.50)","(1772.00, 815.00)","(729.50, 663.50)","(1228.00, 449.00)","(705.50, 218.50)","(286.50, 679.00)",,"(552.50, 502.50)","(377.50, 750.50)","(126.50, 201.00)","(1664.50, 477.50)","(587.00, 502.00)",,,,,,,,,,,
5,"(798.50, 431.50)","(203.50, 683.00)","(1342.00, 423.50)","(221.50, 503.50)","(1619.50, 385.50)","(177.50, 353.50)","(312.50, 360.00)","(800.00, 683.00)","(1270.50, 665.00)","(1420.50, 262.00)","(347.50, 794.50)","(794.50, 279.00)","(1778.00, 811.00)","(728.00, 663.00)","(1229.00, 454.00)","(703.50, 220.00)","(280.00, 680.50)",,"(552.50, 509.00)",,"(135.00, 202.00)","(1662.50, 475.50)","(593.50, 503.00)",,,,,,,,,,,
6,"(810.00, 436.00)","(213.50, 679.00)","(1363.50, 428.00)","(232.50, 501.00)","(1635.50, 384.00)","(186.50, 355.50)","(314.00, 362.00)","(790.50, 679.00)","(1272.00, 662.50)","(1417.00, 264.50)",,"(793.50, 281.00)","(1789.00, 808.00)","(729.50, 665.50)","(1235.00, 462.00)","(705.50, 222.00)","(286.50, 680.50)",,"(551.00, 512.50)","(352.50, 758.00)","(146.00, 201.00)","(1656.50, 468.50)","(600.00, 503.50)",,"(532.50, 548.00)",,,,,,,,,
7,"(825.00, 440.00)","(227.50, 676.00)","(1379.50, 427.50)","(243.00, 499.50)","(1643.50, 381.50)","(197.00, 357.50)","(316.50, 362.00)","(784.50, 684.50)","(1275.00, 662.00)","(1413.50, 266.50)","(333.00, 794.50)","(794.50, 283.00)","(1790.00, 808.50)","(732.00, 664.50)","(1239.00, 465.50)","(706.00, 223.50)","(276.50, 677.50)",,"(556.00, 513.00)",,"(156.50, 203.00)","(1649.00, 461.00)","(604.50, 503.50)",,"(525.50, 545.00)",,,,,,,,,
8,"(838.50, 440.50)","(240.00, 671.50)","(1395.00, 423.00)","(253.00, 495.00)","(1653.00, 379.50)","(210.00, 356.00)","(323.00, 362.50)","(782.50, 689.00)","(1279.00, 654.50)","(1411.50, 266.50)","(331.50, 795.50)","(793.50, 282.00)","(1789.00, 803.50)","(736.00, 660.50)","(1240.50, 476.00)","(707.00, 223.00)","(267.00, 675.50)",,"(555.00, 515.50)",,"(168.50, 203.00)","(1643.00, 459.00)","(611.50, 504.50)",,"(518.00, 544.50)",,,,,,,,,
9,"(856.00, 442.00)","(249.00, 667.00)","(1411.00, 416.00)","(263.00, 488.00)","(1661.50, 372.50)","(223.50, 354.50)","(326.00, 361.50)","(783.50, 684.50)","(1285.00, 645.50)","(1404.50, 265.50)","(321.50, 790.50)","(793.00, 280.00)","(1784.50, 797.00)","(738.00, 654.50)","(1251.50, 476.00)","(709.50, 221.00)","(268.50, 673.00)",,"(561.50, 511.50)",,"(181.00, 201.00)","(1636.00, 454.00)","(621.00, 499.50)",,"(512.50, 542.00)",,,,,,,,,
10,"(881.50, 441.00)","(266.00, 664.00)","(1416.00, 408.00)","(276.50, 484.00)","(1671.50, 369.50)","(238.00, 353.50)","(324.00, 362.00)","(782.50, 682.00)","(1287.50, 629.50)","(1400.50, 268.00)","(314.00, 790.00)","(794.00, 278.50)",,"(741.50, 650.00)","(1259.50, 478.50)","(710.50, 219.00)",,,"(552.50, 508.50)",,"(195.50, 199.00)","(1637.00, 450.00)","(629.50, 497.00)",,"(509.50, 531.50)",,,,,,,,,
