Frame,ball_x,ball_y,is_interpolated
0,1624.5,492.0,False
1,1652.0,501.0,False
2,1655.0,496.0,False
3,1542.0,393.5,False
4,1540.0,392.5,False
5,1539.0,392.0,False
6,1538.0,393.5,False
7,1591.0,429.5,False
8,1539.5,387.5,False
9,1501.5,359.5,False
10,1463.5,335.0,False
11,1432.5,315.5,False
12,1404.5,299.0,False
13,1517.5,387.5,False
14,1363.5,279.0,False
15,1340.0,278.0,False
16,1319.5,276.0,False
17,1302.0,274.5,False
18,1284.5,276.5,False
19,1268.0,274.0,False
20,1252.5,272.0,False
21,1236.5,270.0,False
22,1181.5,268.0,False
23,1141.0,269.5,False
24,1104.0,268.0,False
25,1073.0,265.5,False
26,1048.0,263.5,False
27,1028.0,264.0,False
28,1016.0,265.0,False
29,1553.0,422.5,False
30,938.0,279.5,False
31,872.5,293.5,False
32,813.0,309.5,False
33,1705.0,459.0,False
34,715.0,336.0,False
35,670.0,347.0,False
36,1796.5,476.0,False
37,587.5,355.5,False
38,551.0,357.5,False
39,515.0,361.0,False
40,481.5,361.5,False
41,449.5,363.5,False
42,419.0,365.0,False
43,394.0,366.75,True
44,369.0,368.5,False
45,348.5,367.5,False
46,332.0,367.5,False
47,321.5,367.0,False
48,316.5,364.5,False
49,313.0,361.5,False
50,318.0,360.5,False
51,342.0,358.0,False
52,363.0,356.0,False
53,384.5,352.0,False
54,423.5,348.5,False
55,464.5,352.5,False
56,486.5,355.5,False
57,494.5,355.0,False
58,494.5,356.0,False
59,494.5,360.0,False
60,488.5,365.5,False
61,484.0,367.5,False
62,469.5,371.0,False
63,454.0,395.5,False
64,442.5,420.0,False
65,433.5,445.5,False
66,433.0,472.0,False
67,428.0,487.5,True
68,423.0,503.0,True
69,418.0,518.5,False
70,421.66666,523.5,True
71,425.33334,528.5,True
72,429.0,533.5,False
73,432.5,542.0,False
74,440.5,551.5,False
75,444.5,556.5,False
76,472.0,604.5,False
77,499.0,663.0,False
78,521.0,721.5,False
79,539.0,773.0,False
80,554.5,821.5,False
81,560.0,809.05554,True
82,565.5,796.6111,True
83,571.0,784.1667,True
84,576.5,771.7222,True
85,582.0,759.2778,True
86,587.5,746.8333,True
87,593.0,734.3889,True
88,598.5,721.94446,True
89,604.0,709.5,False
90,685.0,666.5,False
91,750.0,633.5,False
92,799.0,607.5,False
93,840.0,588.0,False
94,878.5,571.0,False
95,917.5,554.5,False
96,991.0,618.0,False
97,1081.0,691.0,False
98,1176.5,767.0,False
99,1267.0,825.5,False
100,1353.0,881.5,False
101,1436.0,930.5,False
102,1426.9445,931.44446,True
103,1417.8889,932.3889,True
104,1408.8334,933.3333,True
105,1399.7778,934.2778,True
106,1390.7222,935.2222,True
107,1381.6666,936.1667,True
108,1372.6111,937.1111,True
109,1363.5555,938.05554,True
110,1354.5,939.0,False
111,1277.0,926.5,False
112,1209.5,918.0,False
113,1154.5,911.0,False
114,1104.5,905.0,False
115,1061.5,900.0,False
116,1018.0,893.5,False
117,980.5,887.5,False
118,807.0,854.0,False
119,800.8333,843.5,True
120,794.6667,833.0,True
121,788.5,822.5,False
122,719.5,806.0,False
123,659.5,805.0,False
124,606.0,821.5,False
125,555.0,855.5,False
126,511.5,900.0,False
127,483.5,900.0,False
128,463.0,881.0,False
129,910.5,853.0,False
130,415.5,890.5,False
131,420.5,886.25,True
132,425.5,882.0,False
133,443.0,879.0,False
134,883.0,850.5,False
135,1721.5,308.5,False
136,1717.4166,362.91666,True
137,1713.3334,417.33334,True
138,1709.25,471.75,True
139,1705.1666,526.1667,True
140,1701.0834,580.5833,True
141,1697.0,635.0,False
142,1103.0,675.0,True
143,509.0,715.0,False
144,466.22223,694.3333,True
145,423.44446,673.6667,True
146,380.66666,653.0,True
147,337.8889,632.3333,True
148,295.1111,611.6667,True
149,252.33333,591.0,True
150,209.55556,570.3333,True
151,166.77777,549.6667,True
152,124.0,529.0,False
153,116.5,518.5,False
154,106.5,507.5,False
155,98.25,497.25,True
156,90.0,487.0,False
157,91.5,480.0,False
